code,name,name_fa,icao,logo
K2,Eurolot,,ELO,images/airlines/ELO.png
K4,Kalitta Air,,CKS,images/airlines/CKS.png
K5,SeaPort Airlines,,SQH,images/airlines/SQH.png
KA,Dragonair,,HDA,images/airlines/HDA.png
KB,Druk Air,,DRK,images/airlines/DRK.png
KC,Air Astana,,KZR,images/airlines/KZR.png
KE,Korean Air,,KAL,images/airlines/KAL.png
KF,Blue1,,BLF,images/airlines/BLF.png
KH,Aloha Air Cargo,,KHK,images/airlines/KHK.png
KIS,Kish Air,هواپیمایی کیش,KIS,images/airlines/KIS.png
KJ,Air Incheon,,LAJ,images/airlines/LAJ.png
KK,Atlas Global,,KKK,images/airlines/KKK.png
KL,KLM,,KLM,images/airlines/KLM.png
KM,Air Malta,,AMC,images/airlines/AMC.png
KO,Alaska Central Express,,AER,images/airlines/AER.png
KQ,Kenya Airways,,KQA,images/airlines/KQA.png
KS,Air Connect,,PEN,images/airlines/PEN.png
KU,Kuwait Airways,,KAC,images/airlines/KAC.png
KX,Cayman Airways,,CAY,images/airlines/CAY.png
L2,Lynden Air Cargo,,LYC,images/airlines/LYC.png
L5,Atlantique Air Assistance,,LTR,images/airlines/LTR.png
L6,Tbilaviamsheni,,MAI,images/airlines/MAI.png
LA,Latam Airlines Group,,LAN,images/airlines/LAN.png
LC,Equatorial Congo Airline,,VLO,images/airlines/VLO.png
LD,Air Hong Kong,,TUY,images/airlines/TUY.png
LG,Luxair,,LGL,images/airlines/LGL.png
LH,Lufthansa,,GEC,images/airlines/GEC.png
LI,Leeward Islands Air Transport,,LIA,images/airlines/LIA.png
LJ,Sierra National Airlines,,JNA,images/airlines/JNA.png
LK,Kyrgyz Airlines,,LXR,images/airlines/LXR.png
LN,Libyan Arab Airlines,,LAA,images/airlines/LAA.png
LO,LOT Polish Airlines,,LOT,images/airlines/LOT.png
LP,LAN Peru,,LPE,images/airlines/LPE.png
LR,LACSA,,LRC,images/airlines/LRC.png
LS,Jet2.com,,EXS,images/airlines/EXS.png
LT,Air Lituanica,,LTU,images/airlines/LTU.png
LU,Latam Airlines Chile,,LXP,images/airlines/LXP.png
LV,Albanian Airlines,,LBC,images/airlines/LBC.png
LX,Swiss International Air Lines,,SWR,images/airlines/SWR.png
LY,El Al Israel Airlines,,ELY,images/airlines/ELY.png
M0,Aero Mongolia,,MNG,images/airlines/MNG.png
M3,North Flying,,NFA,images/airlines/NFA.png
M5,Kenmore Air,,KEN,images/airlines/KEN.png
M6,Amerijet International,,AJT,images/airlines/AJT.png
M8,Mekong Airlines,,TNU,images/airlines/TNU.png
M9,Motor Sich,,MSI,images/airlines/MSI.png
MA,Malév Hungarian Airlines,,MAH,images/airlines/MAH.png
MB,MNG Airlines,,MNB,images/airlines/MNB.png
MC,Air Mobility Command,,RCH,images/airlines/RCH.png
MD,Air Madagascar,,MDG,images/airlines/MDG.png
ME,Middle East Airlines,,MEA,images/airlines/MEA.png
MF,Xiamen Airlines,,CXA,images/airlines/CXA.png
MH,Malaysia Airlines,,MAS,images/airlines/MAS.png
MI,SilkAir,,SLK,images/airlines/SLK.png
MJ,Myway Airlines,,LPR,images/airlines/LPR.png
MK,Air Mauritius,,MAU,images/airlines/MAU.png
ML,Air Mediterranee,,MAV,images/airlines/MAV.png
MN,Kulula,,CAW,images/airlines/CAW.png
MO,Calm Air,,CAV,images/airlines/CAV.png
MP,Martinair,,MPH,images/airlines/MPH.png
MQ,American Eagle Airlines,,EGF,images/airlines/EGF.png
MR,Air Mauritanie,,OME,images/airlines/OME.png
MS,Egyptair,,MSR,images/airlines/MSR.png
MT,Thomas Cook Airlines,,TCX,images/airlines/TCX.png
MU,China Eastern Airlines,,CES,images/airlines/CES.png
MW,Mokulele Airlines,,MYD,images/airlines/MYD.png
MX,Breeze Airways,,MXA,images/airlines/MXA.png
MY,Maya Island Air,,MWA,images/airlines/MWA.png
MZ,Amakusa Airlines,,MNA,images/airlines/MNA.png
N2,Kabo Air,,QNK,images/airlines/QNK.png
N3,Omskavia Airline,,OMS,images/airlines/OMS.png
N8,National Airlines,,NCR,images/airlines/NCR.png
NC,National Jet Systems,,NAC,images/airlines/NAC.png
NE,SkyEurope,,ESK,images/airlines/ESK.png
NF,Air Vanuatu,,AVN,images/airlines/AVN.png
NG,Lauda Air,,LDA,images/airlines/LDA.png
NH,All Nippon Airways,,ANA,images/airlines/ANA.png
NI,Portugalia,,PGA,images/airlines/PGA.png
NK,Spirit Airlines,,NKS,images/airlines/NKS.png
NL,Shaheen Air International,,SAI,images/airlines/SAI.png
NM,Air Madrid,,NZM,images/airlines/NZM.png
NN,VIM Airlines,,MOV,images/airlines/MOV.png
NP,Nile Air,,NIA,images/airlines/NIA.png
NQ,Air Japan,,AJX,images/airlines/AJX.png
NT,Binter Canarias,,IBB,images/airlines/IBB.png
NU,Japan Transocean Air,,JTA,images/airlines/JTA.png
NV,Karun Airline,,ALS,images/airlines/ALS.png
NW,Northwest Airlines,,NWA,images/airlines/NWA.png
NX,Air Macau,,AMU,images/airlines/AMU.png
NY,Air Iceland,,FXI,images/airlines/FXI.png
NZ,Air New Zealand,,ANZ,images/airlines/ANZ.png
O6,Avianca Brazil,,ONE,images/airlines/ONE.png
O7,Ozjet Airlines,,OZJ,images/airlines/OZJ.png
O8,Oasis Hong Kong Airlines,,OHK,images/airlines/OHK.png
OA,Olympic Air,,OAL,images/airlines/OAL.png
OD,Malindo Airways,,MXD,images/airlines/MXD.png
OH,PSA Airlines,,COM,images/airlines/COM.png
OJ,Fly Jamaica Airways,,OLA,images/airlines/OLA.png
OK,Czech Airlines,,CSA,images/airlines/CSA.png
OM,MIAT Mongolian Airlines,,MGL,images/airlines/MGL.png
ON,Our Airline,,RON,images/airlines/RON.png
OO,SkyWest Airlines,,SKW,images/airlines/SKW.png
OP,Chalk's International Airlines,,PPL,images/airlines/PPL.png
OQ,Chongqing Airlines,,CQN,images/airlines/CQN.png
OR,Arkefly,,TFL,images/airlines/TFL.png
OS,Austrian Airlines,,AUA,images/airlines/AUA.png
OT,Aeropelican Air Services,,PEL,images/airlines/PEL.png
OU,Croatia Airlines,,CTN,images/airlines/CTN.png
OV,Salam Air,,ELL,images/airlines/ELL.png
OX,Orient Thai Airlines,,OEA,images/airlines/OEA.png
OY,Andes Líneas Aéreas,,OAE,images/airlines/OAE.png
P5,Wingo,,RPB,images/airlines/RPB.png
PC,Pegasus Airlines,,PGT,images/airlines/PGT.png
PD,Porter Airlines,,POE,images/airlines/POE.png
PE,People's,,AEL,images/airlines/AEL.png
PG,Bangkok Airways,,BKP,images/airlines/BKP.png
PH,Polynesian Airlines,,PAO,images/airlines/PAO.png
PJ,Air Saint Pierre,,SPM,images/airlines/SPM.png
PK,Pakistan International Airlines,,PIA,images/airlines/PIA.png
PL,Southern Air Charter,,ASE,images/airlines/ASE.png
PM,Tropic Air,,TOS,images/airlines/TOS.png
PN,China West Air,,CHB,images/airlines/CHB.png
PR,Philippine Airlines,,PAL,images/airlines/PAL.png
PRS,Pars Air,هواپیمایی پارس,PRS,images/airlines/PRS.png
PS,Ukraine International,,AUI,images/airlines/AUI.png
PU,PLUNA,,PUA,images/airlines/PUA.png
PV,St Barth Commuter,,PNR,images/airlines/PNR.png
PW,Precision Air,,PRF,images/airlines/PRF.png
PX,Air Niugini,,ANG,images/airlines/ANG.png
PY,Surinam Airways,,SLM,images/airlines/SLM.png
PYA,Pouya Air,هواپیمایی پویا,PYA,images/airlines/PYA.png
PZ,Latam Airlines Paraguay,,LAP,images/airlines/LAP.png
Q5,40-Mile Air,,MLA,images/airlines/MLA.png
Q6,Aero Condor Peru,,CDP,images/airlines/CDP.png
Q8,Pacific East Asia Cargo Airlines,,PEC,images/airlines/PEC.png
Q9,Green Africa Airways,,NAK,images/airlines/NAK.png
QE,Crossair Europe,,ECC,images/airlines/ECC.png
QF,Qantas,,QFA,images/airlines/QFA.png
QH,Bamboo Airways,,LYN,images/airlines/LYN.png
QI,Cimber Sterling,,CIM,images/airlines/CIM.png
QK,Air Canada Jazz,,JZA,images/airlines/JZA.png
QM,Air Malawi,,AML,images/airlines/AML.png
QO,Aeromexpress,,OGN,images/airlines/OGN.png
QQ,Alliance Airlines,,ROA,images/airlines/ROA.png
QR,Qatar Airways,,QTR,images/airlines/QTR.png
QS,Smartwings,,TVS,images/airlines/TVS.png
QT,TAMPA,,TPA,images/airlines/TPA.png
QV,Lao Airlines,,LAO,images/airlines/LAO.png
QX,Horizon Air,,QXE,images/airlines/QXE.png
QZ,PT Indonesia AirAsia,,AWQ,images/airlines/AWQ.png
R2,Orenburg Airlines,,ORB,images/airlines/ORB.png
R3,Aircompany Yakutia,,SYL,images/airlines/SYL.png
R5,Jordan Aviation,,MAC,images/airlines/MAC.png
R7,Aserca Airlines,,OCA,images/airlines/OCA.png
RA,Nepal Airlines,,RNA,images/airlines/RNA.png
RB,Syrian Arab Airlines,,SYR,images/airlines/SYR.png
RC,Atlantic Airways,,FLI,images/airlines/FLI.png
RD,Ryan International Airlines,,RYN,images/airlines/RYN.png
RE,Stobart Air,,REA,images/airlines/REA.png
RF,Florida West International Airways,,FWL,images/airlines/FWL.png
RH,Republic Express Airlines,,RPH,images/airlines/RPH.png
RI,Mandala Airlines,,MDL,images/airlines/MDL.png
RJ,Royal Jordanian,,RJA,images/airlines/RJA.png
RO,Tarom,,ROT,images/airlines/ROT.png
RP,Chautauqua Airlines,,CHQ,images/airlines/CHQ.png
RQ,Kam Air,,KMF,images/airlines/KMF.png
RS,Air Seoul,,SKV,images/airlines/SKV.png
RV,Air Canada Rouge,هواپیمایی کاسپین,CPN,images/airlines/CPN.png
RW,Republic Airlines,,RPA,images/airlines/RPA.png
